ORISPL,BOILER,COUNTY,PLANT_NAME,SOURCE.x,SOURCE.y,MATCH,CAMD_STATE,CAMD_FACILITY_NAME,CAMD_GENERATOR_ID,CAMD_CAPACITY,CAMD_FUEL_TYPE,CAMD_LATITUDE,CAMD_LONGITUDE,CAMD_STATUS,CAMD_STATUS_DATE,CAMD_RETIRE_YEAR,EIA_STATE,EIA_PLANT_NAME,EIA_PLANT_ID,EIA_GENERATOR_ID,EIA_CAPACITY,EIA_BOILER_ID,EIA_UNIT_TYPE,EIA_FUEL_TYPE,EIA_LATITUDE,EIA_LONGITUDE,EIA_RETIRE_YEAR
3,1,MOBILE,BARRY,GF,CEMS,TRUE,AL,Barry,1,153.1,Pipeline Natural Gas,31.0069,-88.0103,OPR,1954-02-11,0,AL,Barry,3,1,153.1,1,ST,NG,31.0069,-88.0103,0
3,2,MOBILE,BARRY,GF,CEMS,TRUE,AL,Barry,2,153.1,Pipeline Natural Gas,31.0069,-88.0103,OPR,1954-06-18,0,AL,Barry,3,2,153.1,2,ST,NG,31.0069,-88.0103,0
3,3,MOBILE,BARRY,GF,CEMS,TRUE,AL,Barry,3,272,NA,31.0069,-88.0103,RET,2015-08-24,2015,AL,Barry,3,3,272,3,ST,BIT,31.0069,-88.0103,2015
3,4,MOBILE,BARRY,GF,CEMS,TRUE,AL,Barry,4,403.8,Coal,31.0069,-88.0103,OPR,1969-05-28,0,AL,Barry,3,4,403.7,4,ST,BIT,31.0069,-88.0103,0
3,5,MOBILE,BARRY,GF,CEMS,TRUE,AL,Barry,5,788.8,Coal,31.0069,-88.0103,OPR,1971-07-24,0,AL,Barry,3,5,788.8,5,ST,BIT,31.0069,-88.0103,0
3,6A,NA,NA,NA,CEMS,FALSE,AL,Barry,A1CT,170.1,Pipeline Natural Gas,31.0069,-88.0103,OPR,2000-02-22,0,AL,Barry,3,A1CT,170.1,NA,CT,NG,31.0069,-88.0103,0
3,6A,NA,NA,NA,CEMS,FALSE,AL,Barry,A1ST,191.8,Pipeline Natural Gas,31.0069,-88.0103,OPR,2000-02-22,0,AL,Barry,3,A1ST,195.2,6A,CA,NG,31.0069,-88.0103,0
3,6B,NA,NA,NA,CEMS,FALSE,AL,Barry,A1CT2,170.1,Pipeline Natural Gas,31.0069,-88.0103,OPR,2000-02-22,0,AL,Barry,3,A1CT2,170.1,NA,CT,NG,31.0069,-88.0103,0
3,6B,NA,NA,NA,CEMS,FALSE,AL,Barry,A1ST,191.8,Pipeline Natural Gas,31.0069,-88.0103,OPR,2000-02-22,0,AL,Barry,3,A1ST,195.2,6B,CA,NG,31.0069,-88.0103,0
3,7A,NA,NA,NA,CEMS,FALSE,AL,Barry,A2C1,170.1,Pipeline Natural Gas,31.0069,-88.0103,OPR,2000-12-11,0,AL,Barry,3,A2C1,170.1,NA,CT,NG,31.0069,-88.0103,0
3,7A,NA,NA,NA,CEMS,FALSE,AL,Barry,A2ST,191.8,Pipeline Natural Gas,31.0069,-88.0103,OPR,2000-12-11,0,AL,Barry,3,A2ST,195.2,7A,CA,NG,31.0069,-88.0103,0
3,7B,NA,NA,NA,CEMS,FALSE,AL,Barry,A2C2,170.1,Pipeline Natural Gas,31.0069,-88.0103,OPR,2001-01-09,0,AL,Barry,3,A2C2,170.1,NA,CT,NG,31.0069,-88.0103,0
3,7B,NA,NA,NA,CEMS,FALSE,AL,Barry,A2ST,191.8,Pipeline Natural Gas,31.0069,-88.0103,OPR,2001-01-09,0,AL,Barry,3,A2ST,195.2,7B,CA,NG,31.0069,-88.0103,0
7,1,ETOWAH,GADSDEN,GF,CEMS,TRUE,AL,Gadsden,1,69,Pipeline Natural Gas,34.0128,-85.9708,OPR,1949-04-01,0,AL,Gadsden,7,1,69,1,ST,NG,34.0128,-85.9708,0
7,2,ETOWAH,GADSDEN,GF,CEMS,TRUE,AL,Gadsden,2,69,Pipeline Natural Gas,34.0128,-85.9708,OPR,1949-07-20,0,AL,Gadsden,7,2,69,2,ST,NG,34.0128,-85.9708,0
8,10,WALKER,GORGAS,GF,CEMS,TRUE,AL,Gorgas,10,788.8,Coal,33.6446,-87.2003,RET,2019-04-15,2019,AL,Gorgas,8,10,788.8,10,ST,BIT,33.6443,-87.1965,0
8,6,WALKER,GORGAS,GF,CEMS,TRUE,AL,Gorgas,6,125,NA,33.6446,-87.2003,RET,2015-08-24,2015,AL,Gorgas,8,6,125,6,ST,BIT,33.6443,-87.1965,2015
8,7,WALKER,GORGAS,GF,CEMS,TRUE,AL,Gorgas,7,125,NA,33.6446,-87.2003,RET,2015-08-24,2015,AL,Gorgas,8,7,125,7,ST,BIT,33.6443,-87.1965,2015
8,8,WALKER,GORGAS,GF,CEMS,TRUE,AL,Gorgas,8,187.5,Coal,33.6446,-87.2003,RET,2019-04-15,2019,AL,Gorgas,8,8,187.5,8,ST,BIT,33.6443,-87.1965,0
8,9,WALKER,GORGAS,GF,CEMS,TRUE,AL,Gorgas,9,190.4,Coal,33.6446,-87.2003,RET,2019-04-15,2019,AL,Gorgas,8,9,190.4,9,ST,BIT,33.6443,-87.1965,0
10,1,GREENE,GREENE COUNTY,GF,CEMS,TRUE,AL,Greene County,1,299.2,Pipeline Natural Gas,32.6017,-87.7811,OPR,1965-05-04,0,AL,Greene County,10,1,299.2,1,ST,NG,32.6017,-87.7811,0
10,2,GREENE,GREENE COUNTY,GF,CEMS,TRUE,AL,Greene County,2,269.3,Pipeline Natural Gas,32.6017,-87.7811,OPR,1966-04-21,0,AL,Greene County,10,2,269.2,2,ST,NG,32.6017,-87.7811,0
10,CT10,NA,NA,NA,CEMS,FALSE,AL,Greene County,GT10,80,Pipeline Natural Gas,32.6017,-87.7811,OPR,1996-03-22,0,AL,Greene County,10,GT10,80,NA,GT,NG,32.6017,-87.7811,0
10,CT2,NA,NA,NA,CEMS,FALSE,AL,Greene County,GT2,80,Pipeline Natural Gas,32.6017,-87.7811,OPR,1996-04-11,0,AL,Greene County,10,GT2,80,NA,GT,NG,32.6017,-87.7811,0
10,CT3,NA,NA,NA,CEMS,FALSE,AL,Greene County,GT3,80,Pipeline Natural Gas,32.6017,-87.7811,OPR,1995-03-02,0,AL,Greene County,10,GT3,80,NA,GT,NG,32.6017,-87.7811,0
10,CT4,NA,NA,NA,CEMS,FALSE,AL,Greene County,GT4,80,Pipeline Natural Gas,32.6017,-87.7811,OPR,1995-03-07,0,AL,Greene County,10,GT4,80,NA,GT,NG,32.6017,-87.7811,0
10,CT5,NA,NA,NA,CEMS,FALSE,AL,Greene County,GT5,80,Pipeline Natural Gas,32.6017,-87.7811,OPR,1995-03-24,0,AL,Greene County,10,GT5,80,NA,GT,NG,32.6017,-87.7811,0
10,CT6,NA,NA,NA,CEMS,FALSE,AL,Greene County,GT6,80,Pipeline Natural Gas,32.6017,-87.7811,OPR,1995-04-12,0,AL,Greene County,10,GT6,80,NA,GT,NG,32.6017,-87.7811,0
10,CT7,NA,NA,NA,CEMS,FALSE,AL,Greene County,GT7,80,Pipeline Natural Gas,32.6017,-87.7811,OPR,1995-05-10,0,AL,Greene County,10,GT7,80,NA,GT,NG,32.6017,-87.7811,0
10,CT8,NA,NA,NA,CEMS,FALSE,AL,Greene County,GT8,80,Pipeline Natural Gas,32.6017,-87.7811,OPR,1996-03-01,0,AL,Greene County,10,GT8,80,NA,GT,NG,32.6017,-87.7811,0
10,CT9,NA,NA,NA,CEMS,FALSE,AL,Greene County,GT9,80,Pipeline Natural Gas,32.6017,-87.7811,OPR,1996-03-04,0,AL,Greene County,10,GT9,80,NA,GT,NG,32.6017,-87.7811,0
26,1,SHELBY,E C GASTON,GF,CEMS,TRUE,AL,E C Gaston,1,272,Pipeline Natural Gas,33.2442,-86.4567,OPR,1960-03-26,0,AL,E C Gaston,26,1,272,1,ST,NG,33.2442,-86.4581,0
26,2,SHELBY,E C GASTON,GF,CEMS,TRUE,AL,E C Gaston,2,272,Pipeline Natural Gas,33.2442,-86.4567,OPR,1960-06-08,0,AL,E C Gaston,26,2,272,2,ST,NG,33.2442,-86.4581,0
26,3,SHELBY,E C GASTON,GF,CEMS,TRUE,AL,E C Gaston,3,272,Pipeline Natural Gas,33.2442,-86.4567,OPR,1960-06-01,0,AL,E C Gaston,26,3,272,3,ST,NG,33.2442,-86.4581,0
26,4,SHELBY,E C GASTON,GF,CEMS,TRUE,AL,E C Gaston,ST4,244.8,Pipeline Natural Gas,33.2442,-86.4567,OPR,1962-04-17,0,AL,E C Gaston,26,ST4,244.8,4,ST,NG,33.2442,-86.4581,0
26,5,SHELBY,E C GASTON,GF,CEMS,TRUE,AL,E C Gaston,5,952,Coal,33.2442,-86.4567,OPR,1974-06-05,0,AL,E C Gaston,26,5,952,5,ST,BIT,33.2442,-86.4581,0
